gaussian_x,gaussian_y,std_x,std_y,rotation,amplitude
0.000000,0.000000,0.020000,0.020000,0.0,0.066725
0.020408,0.000000,0.020000,0.020000,0.0,0.059571
0.040816,0.000000,0.020000,0.020000,0.0,0.053860
0.061224,0.000000,0.020000,0.020000,0.0,0.049649
0.081633,0.000000,0.020000,0.020000,0.0,0.046927
0.102041,0.000000,0.020000,0.020000,0.0,0.045651
0.122449,0.000000,0.020000,0.020000,0.0,0.045765
0.142857,0.000000,0.020000,0.020000,0.0,0.047209
0.163265,0.000000,0.020000,0.020000,0.0,0.049901
0.183673,0.000000,0.020000,0.020000,0.0,0.053701
0.204082,0.000000,0.020000,0.020000,0.0,0.058385
0.224490,0.000000,0.020000,0.020000,0.0,0.063622
0.244898,0.000000,0.020000,0.020000,0.0,0.068998
0.265306,0.000000,0.020000,0.020000,0.0,0.074083
0.285714,0.000000,0.020000,0.020000,0.0,0.078549
0.306122,0.000000,0.020000,0.020000,0.0,0.082259
0.326531,0.000000,0.020000,0.020000,0.0,0.085303
0.346939,0.000000,0.020000,0.020000,0.0,0.087918
0.367347,0.000000,0.020000,0.020000,0.0,0.090381
0.387755,0.000000,0.020000,0.020000,0.0,0.092894
0.408163,0.000000,0.020000,0.020000,0.0,0.095517
0.428571,0.000000,0.020000,0.020000,0.0,0.098137
0.448980,0.000000,0.020000,0.020000,0.0,0.100486
0.469388,0.000000,0.020000,0.020000,0.0,0.102208
0.489796,0.000000,0.020000,0.020000,0.0,0.102974
0.510204,0.000000,0.020000,0.020000,0.0,0.102630
0.530612,0.000000,0.020000,0.020000,0.0,0.101277
0.551020,0.000000,0.020000,0.020000,0.0,0.099249
0.571429,0.000000,0.020000,0.020000,0.0,0.097000
0.591837,0.000000,0.020000,0.020000,0.0,0.094987
0.612245,0.000000,0.020000,0.020000,0.0,0.093585
0.632653,0.000000,0.020000,0.020000,0.0,0.093062
0.653061,0.000000,0.020000,0.020000,0.0,0.093585
0.673469,0.000000,0.020000,0.020000,0.0,0.095229
0.693878,0.000000,0.020000,0.020000,0.0,0.097989
0.714286,0.000000,0.020000,0.020000,0.0,0.101793
0.734694,0.000000,0.020000,0.020000,0.0,0.106506
0.755102,0.000000,0.020000,0.020000,0.0,0.111931
0.775510,0.000000,0.020000,0.020000,0.0,0.117836
0.795918,0.000000,0.020000,0.020000,0.0,0.123963
0.816327,0.000000,0.020000,0.020000,0.0,0.130056
0.836735,0.000000,0.020000,0.020000,0.0,0.135883
0.857143,0.000000,0.020000,0.020000,0.0,0.141254
0.877551,0.000000,0.020000,0.020000,0.0,0.146031
0.897959,0.000000,0.020000,0.020000,0.0,0.150134
0.918367,0.000000,0.020000,0.020000,0.0,0.153531
0.938776,0.000000,0.020000,0.020000,0.0,0.156228
0.959184,0.000000,0.020000,0.020000,0.0,0.158265
0.979592,0.000000,0.020000,0.020000,0.0,0.159707
1.000000,0.000000,0.020000,0.020000,0.0,0.160650
0.000000,0.020408,0.020000,0.020000,0.0,0.046434
0.020408,0.020408,0.020000,0.020000,0.0,0.039441
0.040816,0.020408,0.020000,0.020000,0.0,0.034107
0.061224,0.020408,0.020000,0.020000,0.0,0.030330
0.081633,0.020408,0.020000,0.020000,0.0,0.027974
0.102041,0.020408,0.020000,0.020000,0.0,0.026918
0.122449,0.020408,0.020000,0.020000,0.0,0.027079
0.142857,0.020408,0.020000,0.020000,0.0,0.028418
0.163265,0.020408,0.020000,0.020000,0.0,0.030920
0.183673,0.020408,0.020000,0.020000,0.0,0.034547
0.204082,0.020408,0.020000,0.020000,0.0,0.039194
0.224490,0.020408,0.020000,0.020000,0.0,0.044627
0.244898,0.020408,0.020000,0.020000,0.0,0.050470
0.265306,0.020408,0.020000,0.020000,0.0,0.056253
0.285714,0.020408,0.020000,0.020000,0.0,0.061536
0.306122,0.020408,0.020000,0.020000,0.0,0.066050
0.326531,0.020408,0.020000,0.020000,0.0,0.069786
0.346939,0.020408,0.020000,0.020000,0.0,0.072945
0.367347,0.020408,0.020000,0.020000,0.0,0.075821
0.387755,0.020408,0.020000,0.020000,0.0,0.078656
0.408163,0.020408,0.020000,0.020000,0.0,0.081548
0.428571,0.020408,0.020000,0.020000,0.0,0.084400
0.448980,0.020408,0.020000,0.020000,0.0,0.086936
0.469388,0.020408,0.020000,0.020000,0.0,0.088772
0.489796,0.020408,0.020000,0.020000,0.0,0.089558
0.510204,0.020408,0.020000,0.020000,0.0,0.089138
0.530612,0.020408,0.020000,0.020000,0.0,0.087642
0.551020,0.020408,0.020000,0.020000,0.0,0.085460
0.571429,0.020408,0.020000,0.020000,0.0,0.083101
0.591837,0.020408,0.020000,0.020000,0.0,0.081064
0.612245,0.020408,0.020000,0.020000,0.0,0.079750
0.632653,0.020408,0.020000,0.020000,0.0,0.079440
0.653061,0.020408,0.020000,0.020000,0.0,0.080308
0.673469,0.020408,0.020000,0.020000,0.0,0.082434
0.693878,0.020408,0.020000,0.020000,0.0,0.085824
0.714286,0.020408,0.020000,0.020000,0.0,0.090409
0.734694,0.020408,0.020000,0.020000,0.0,0.096051
0.755102,0.020408,0.020000,0.020000,0.0,0.102537
0.775510,0.020408,0.020000,0.020000,0.0,0.109598
0.795918,0.020408,0.020000,0.020000,0.0,0.116930
0.816327,0.020408,0.020000,0.020000,0.0,0.124221
0.836735,0.020408,0.020000,0.020000,0.0,0.131186
0.857143,0.020408,0.020000,0.020000,0.0,0.137592
0.877551,0.020408,0.020000,0.020000,0.0,0.143273
0.897959,0.020408,0.020000,0.020000,0.0,0.148136
0.918367,0.020408,0.020000,0.020000,0.0,0.152149
0.938776,0.020408,0.020000,0.020000,0.0,0.155331
0.959184,0.020408,0.020000,0.020000,0.0,0.157734
0.979592,0.020408,0.020000,0.020000,0.0,0.159436
1.000000,0.020408,0.020000,0.020000,0.0,0.160546
0.000000,0.040816,0.020000,0.020000,0.0,0.033473
0.020408,0.040816,0.020000,0.020000,0.0,0.027157
0.040816,0.040816,0.020000,0.020000,0.0,0.022536
0.061224,0.040816,0.020000,0.020000,0.0,0.019384
0.081633,0.040816,0.020000,0.020000,0.0,0.017485
0.102041,0.040816,0.020000,0.020000,0.0,0.016679
0.122449,0.040816,0.020000,0.020000,0.0,0.016877
0.142857,0.040816,0.020000,0.020000,0.0,0.018063
0.163265,0.040816,0.020000,0.020000,0.0,0.020279
0.183673,0.040816,0.020000,0.020000,0.0,0.023578
0.204082,0.040816,0.020000,0.020000,0.0,0.027969
0.224490,0.040816,0.020000,0.020000,0.0,0.033343
0.244898,0.040816,0.020000,0.020000,0.0,0.039411
0.265306,0.040816,0.020000,0.020000,0.0,0.045712
0.285714,0.040816,0.020000,0.020000,0.0,0.051716
0.306122,0.040816,0.020000,0.020000,0.0,0.057004
0.326531,0.040816,0.020000,0.020000,0.0,0.061418
0.346939,0.040816,0.020000,0.020000,0.0,0.065079
0.367347,0.040816,0.020000,0.020000,0.0,0.068267
0.387755,0.040816,0.020000,0.020000,0.0,0.071265
0.408163,0.040816,0.020000,0.020000,0.0,0.074227
0.428571,0.040816,0.020000,0.020000,0.0,0.077115
0.448980,0.040816,0.020000,0.020000,0.0,0.079698
0.469388,0.040816,0.020000,0.020000,0.0,0.081628
0.489796,0.040816,0.020000,0.020000,0.0,0.082581
0.510204,0.040816,0.020000,0.020000,0.0,0.082410
0.530612,0.040816,0.020000,0.020000,0.0,0.081247
0.551020,0.040816,0.020000,0.020000,0.0,0.079472
0.571429,0.040816,0.020000,0.020000,0.0,0.077585
0.591837,0.040816,0.020000,0.020000,0.0,0.076077
0.612245,0.040816,0.020000,0.020000,0.0,0.075343
0.632653,0.040816,0.020000,0.020000,0.0,0.075664
0.653061,0.040816,0.020000,0.020000,0.0,0.077211
0.673469,0.040816,0.020000,0.020000,0.0,0.080063
0.693878,0.040816,0.020000,0.020000,0.0,0.084220
0.714286,0.040816,0.020000,0.020000,0.0,0.089596
0.734694,0.040816,0.020000,0.020000,0.0,0.096029
0.755102,0.040816,0.020000,0.020000,0.0,0.103268
0.775510,0.040816,0.020000,0.020000,0.0,0.111006
0.795918,0.040816,0.020000,0.020000,0.0,0.118899
0.816327,0.040816,0.020000,0.020000,0.0,0.126607
0.836735,0.040816,0.020000,0.020000,0.0,0.133834
0.857143,0.040816,0.020000,0.020000,0.0,0.140351
0.877551,0.040816,0.020000,0.020000,0.0,0.146011
0.897959,0.040816,0.020000,0.020000,0.0,0.150746
0.918367,0.040816,0.020000,0.020000,0.0,0.154552
0.938776,0.040816,0.020000,0.020000,0.0,0.157469
0.959184,0.040816,0.020000,0.020000,0.0,0.159560
0.979592,0.040816,0.020000,0.020000,0.0,0.160917
1.000000,0.040816,0.020000,0.020000,0.0,0.161671
0.000000,0.061224,0.020000,0.020000,0.0,0.027811
0.020408,0.061224,0.020000,0.020000,0.0,0.021997
0.040816,0.061224,0.020000,0.020000,0.0,0.017847
0.061224,0.061224,0.020000,0.020000,0.0,0.015083
0.081633,0.061224,0.020000,0.020000,0.0,0.013464
0.102041,0.061224,0.020000,0.020000,0.0,0.012824
0.122449,0.061224,0.020000,0.020000,0.0,0.013082
0.142857,0.061224,0.020000,0.020000,0.0,0.014247
0.163265,0.061224,0.020000,0.020000,0.0,0.016401
0.183673,0.061224,0.020000,0.020000,0.0,0.019662
0.204082,0.061224,0.020000,0.020000,0.0,0.024134
0.224490,0.061224,0.020000,0.020000,0.0,0.029813
0.244898,0.061224,0.020000,0.020000,0.0,0.036497
0.265306,0.061224,0.020000,0.020000,0.0,0.043740
0.285714,0.061224,0.020000,0.020000,0.0,0.050917
0.306122,0.061224,0.020000,0.020000,0.0,0.057410
0.326531,0.061224,0.020000,0.020000,0.0,0.062846
0.346939,0.061224,0.020000,0.020000,0.0,0.067205
0.367347,0.061224,0.020000,0.020000,0.0,0.070744
0.387755,0.061224,0.020000,0.020000,0.0,0.073817
0.408163,0.061224,0.020000,0.020000,0.0,0.076700
0.428571,0.061224,0.020000,0.020000,0.0,0.079493
0.448980,0.061224,0.020000,0.020000,0.0,0.082110
0.469388,0.061224,0.020000,0.020000,0.0,0.084340
0.489796,0.061224,0.020000,0.020000,0.0,0.085958
0.510204,0.061224,0.020000,0.020000,0.0,0.086851
0.530612,0.061224,0.020000,0.020000,0.0,0.087108
0.551020,0.061224,0.020000,0.020000,0.0,0.087015
0.571429,0.061224,0.020000,0.020000,0.0,0.086976
0.591837,0.061224,0.020000,0.020000,0.0,0.087418
0.612245,0.061224,0.020000,0.020000,0.0,0.088701
0.632653,0.061224,0.020000,0.020000,0.0,0.091089
0.653061,0.061224,0.020000,0.020000,0.0,0.094738
0.673469,0.061224,0.020000,0.020000,0.0,0.099691
0.693878,0.061224,0.020000,0.020000,0.0,0.105882
0.714286,0.061224,0.020000,0.020000,0.0,0.113142
0.734694,0.061224,0.020000,0.020000,0.0,0.121219
0.755102,0.061224,0.020000,0.020000,0.0,0.129810
0.775510,0.061224,0.020000,0.020000,0.0,0.138645
0.795918,0.061224,0.020000,0.020000,0.0,0.147665
0.816327,0.061224,0.020000,0.020000,0.0,0.158585
0.836735,0.061224,0.020000,0.020000,0.0,0.164735
0.857143,0.061224,0.020000,0.020000,0.0,0.166184
0.877551,0.061224,0.020000,0.020000,0.0,0.166184
0.897959,0.061224,0.020000,0.020000,0.0,0.166184
0.918367,0.061224,0.020000,0.020000,0.0,0.166184
0.938776,0.061224,0.020000,0.020000,0.0,0.166184
0.959184,0.061224,0.020000,0.020000,0.0,0.166184
0.979592,0.061224,0.020000,0.020000,0.0,0.166184
1.000000,0.061224,0.020000,0.020000,0.0,0.166184
0.000000,0.081633,0.020000,0.020000,0.0,0.028946
0.020408,0.081633,0.020000,0.020000,0.0,0.023103
0.040816,0.081633,0.020000,0.020000,0.0,0.018928
0.061224,0.081633,0.020000,0.020000,0.0,0.016161
0.081633,0.081633,0.020000,0.020000,0.0,0.014575
0.102041,0.081633,0.020000,0.020000,0.0,0.014018
0.122449,0.081633,0.020000,0.020000,0.0,0.014433
0.142857,0.081633,0.020000,0.020000,0.0,0.015857
0.163265,0.081633,0.020000,0.020000,0.0,0.018420
0.183673,0.081633,0.020000,0.020000,0.0,0.022307
0.204082,0.081633,0.020000,0.020000,0.0,0.027709
0.224490,0.081633,0.020000,0.020000,0.0,0.034727
0.244898,0.081633,0.020000,0.020000,0.0,0.043242
0.265306,0.081633,0.020000,0.020000,0.0,0.052811
0.285714,0.081633,0.020000,0.020000,0.0,0.062651
0.306122,0.081633,0.020000,0.020000,0.0,0.071807
0.326531,0.081633,0.020000,0.020000,0.0,0.079464
0.346939,0.081633,0.020000,0.020000,0.0,0.085256
0.367347,0.081633,0.020000,0.020000,0.0,0.089358
0.387755,0.081633,0.020000,0.020000,0.0,0.092315
0.408163,0.081633,0.020000,0.020000,0.0,0.094758
0.428571,0.081633,0.020000,0.020000,0.0,0.097200
0.448980,0.081633,0.020000,0.020000,0.0,0.099982
0.469388,0.081633,0.020000,0.020000,0.0,0.103321
0.489796,0.081633,0.020000,0.020000,0.0,0.107410
0.510204,0.081633,0.020000,0.020000,0.0,0.112530
0.530612,0.081633,0.020000,0.020000,0.0,0.119206
0.551020,0.081633,0.020000,0.020000,0.0,0.128541
0.571429,0.081633,0.020000,0.020000,0.0,0.144124
0.591837,0.081633,0.020000,0.020000,0.0,0.164861
0.612245,0.081633,0.020000,0.020000,0.0,0.166184
0.632653,0.081633,0.020000,0.020000,0.0,0.166184
0.653061,0.081633,0.020000,0.020000,0.0,0.166184
0.673469,0.081633,0.020000,0.020000,0.0,0.166184
0.693878,0.081633,0.020000,0.020000,0.0,0.166184
0.714286,0.081633,0.020000,0.020000,0.0,0.166184
0.734694,0.081633,0.020000,0.020000,0.0,0.166184
0.755102,0.081633,0.020000,0.020000,0.0,0.166184
0.775510,0.081633,0.020000,0.020000,0.0,0.166184
0.795918,0.081633,0.020000,0.020000,0.0,0.166184
0.816327,0.081633,0.020000,0.020000,0.0,0.166184
0.836735,0.081633,0.020000,0.020000,0.0,0.166184
0.857143,0.081633,0.020000,0.020000,0.0,0.166184
0.877551,0.081633,0.020000,0.020000,0.0,0.166184
0.897959,0.081633,0.020000,0.020000,0.0,0.166184
0.918367,0.081633,0.020000,0.020000,0.0,0.166184
0.938776,0.081633,0.020000,0.020000,0.0,0.166184
0.959184,0.081633,0.020000,0.020000,0.0,0.166184
0.979592,0.081633,0.020000,0.020000,0.0,0.166184
1.000000,0.081633,0.020000,0.020000,0.0,0.166184
0.000000,0.102041,0.020000,0.020000,0.0,0.037802
0.020408,0.102041,0.020000,0.020000,0.0,0.031484
0.040816,0.102041,0.020000,0.020000,0.0,0.026865
0.061224,0.102041,0.020000,0.020000,0.0,0.023780
0.081633,0.102041,0.020000,0.020000,0.0,0.022072
0.102041,0.102041,0.020000,0.020000,0.0,0.021644
0.122449,0.102041,0.020000,0.020000,0.0,0.022491
0.142857,0.102041,0.020000,0.020000,0.0,0.024715
0.163265,0.102041,0.020000,0.020000,0.0,0.028532
0.183673,0.102041,0.020000,0.020000,0.0,0.034248
0.204082,0.102041,0.020000,0.020000,0.0,0.042223
0.224490,0.102041,0.020000,0.020000,0.0,0.052787
0.244898,0.102041,0.020000,0.020000,0.0,0.066117
0.265306,0.102041,0.020000,0.020000,0.0,0.082125
0.285714,0.102041,0.020000,0.020000,0.0,0.100440
0.306122,0.102041,0.020000,0.020000,0.0,0.120704
0.326531,0.102041,0.020000,0.020000,0.0,0.144911
0.346939,0.102041,0.020000,0.020000,0.0,0.166184
0.367347,0.102041,0.020000,0.020000,0.0,0.166184
0.387755,0.102041,0.020000,0.020000,0.0,0.166184
0.408163,0.102041,0.020000,0.020000,0.0,0.166184
0.428571,0.102041,0.020000,0.020000,0.0,0.166184
0.448980,0.102041,0.020000,0.020000,0.0,0.166184
0.469388,0.102041,0.020000,0.020000,0.0,0.166184
0.489796,0.102041,0.020000,0.020000,0.0,0.166184
0.510204,0.102041,0.020000,0.020000,0.0,0.166184
0.530612,0.102041,0.020000,0.020000,0.0,0.166184
0.551020,0.102041,0.020000,0.020000,0.0,0.166184
0.571429,0.102041,0.020000,0.020000,0.0,0.166184
0.591837,0.102041,0.020000,0.020000,0.0,0.166184
0.612245,0.102041,0.020000,0.020000,0.0,0.166184
0.632653,0.102041,0.020000,0.020000,0.0,0.166184
0.653061,0.102041,0.020000,0.020000,0.0,0.166184
0.673469,0.102041,0.020000,0.020000,0.0,0.166184
0.693878,0.102041,0.020000,0.020000,0.0,0.166184
0.714286,0.102041,0.020000,0.020000,0.0,0.166184
0.734694,0.102041,0.020000,0.020000,0.0,0.166184
0.755102,0.102041,0.020000,0.020000,0.0,0.166184
0.775510,0.102041,0.020000,0.020000,0.0,0.166184
0.795918,0.102041,0.020000,0.020000,0.0,0.166184
0.816327,0.102041,0.020000,0.020000,0.0,0.166184
0.836735,0.102041,0.020000,0.020000,0.0,0.166184
0.857143,0.102041,0.020000,0.020000,0.0,0.166184
0.877551,0.102041,0.020000,0.020000,0.0,0.166184
0.897959,0.102041,0.020000,0.020000,0.0,0.166184
0.918367,0.102041,0.020000,0.020000,0.0,0.166184
0.938776,0.102041,0.020000,0.020000,0.0,0.166184
0.959184,0.102041,0.020000,0.020000,0.0,0.166184
0.979592,0.102041,0.020000,0.020000,0.0,0.166184
1.000000,0.102041,0.020000,0.020000,0.0,0.166184
0.000000,0.122449,0.020000,0.020000,0.0,0.055964
0.020408,0.122449,0.020000,0.020000,0.0,0.049398
0.040816,0.122449,0.020000,0.020000,0.0,0.044488
0.061224,0.122449,0.020000,0.020000,0.0,0.041246
0.081633,0.122449,0.020000,0.020000,0.0,0.039674
0.102041,0.122449,0.020000,0.020000,0.0,0.039814
0.122449,0.122449,0.020000,0.020000,0.0,0.041799
0.142857,0.122449,0.020000,0.020000,0.0,0.045904
