scenario,real_time_plot,extrude_speed_slider,extrude_angle_slider,extrude_length_slider,down_length_slider,down_speed_slider,delay_after_down,shear_length,shear_speed,delay_after_shear,back_speed,moving_speed,moving_step_angle,time_delay,variable1,variable3,search_start,search_end,ground_height,extrude_back_speed
leg,True,2.0,0.0,10.0,4.0,1.0,3.0,17.0,1.0,0.0,1.0,10.0,5.0,0.0,15.6,0.0,15.0,27.0,17.5,4.0
time,toeforce_x,toeforce_y,toeforce_x_loadcell,toeforce_yloadcell,toe_position_x,toe_position_y,toe_velocity_x,toe_velocity_y,position,position1,torque,torque1,theta command,length command,state flag,current
0.009319782257080078,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06194643512909885,-0.0013542175971700526,0.1888451874256134,0.05221984162926674,0.0,0.0,0.0,0.0
0.015459060668945312,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06194643512909885,-0.0013542175971700526,0.1888451874256134,0.05221984162926674,0.0,0.0,0.0,0.0
0.020422697067260742,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06194643512909885,-0.0013542175971700526,-1.0128132998943329e-06,-5.145921022631228e-07,0.0,0.0,0.0,0.0
0.022996187210083008,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06194643512909885,-0.0013542175971700526,-1.0128132998943329e-06,-5.145921022631228e-07,0.0,0.0,0.0,0.0
0.02707648277282715,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06306096804529701,-0.0013542175971700526,0.07055840641260147,0.05762350931763649,0.0,0.0,0.0,0.0
0.02897787094116211,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06406764293734696,-0.0013542175971700526,0.081930972635746,0.05762350931763649,0.0,0.0,0.0,0.0
0.030928850173950195,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.0646668541826148,-0.0015699336454664708,0.08371911197900772,0.05762350931763649,0.0,0.0,0.0,0.0
0.03339219093322754,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06543384457655761,-0.0018096181435736023,0.08786759525537491,0.062415726482868195,0.0,0.0,0.0,0.0
0.03504776954650879,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06543384457655761,-0.0018096181435736023,0.08786759525537491,0.062415726482868195,0.0,0.0,0.0,0.0
0.037161827087402344,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.0658772608980558,-0.0026724823367592753,0.14895471930503845,0.12778408825397491,0.0,0.0,0.0,0.0
0.03898358345031738,0.8016079068183899,-2.359628438949585,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.0658772608980558,-0.0026724823367592753,0.14895471930503845,0.12778408825397491,0.0,0.0,0.0,0.0
0.04718613624572754,-2.996076773342793e-06,1.497461835242575e-05,0.0,0.0,0.00201898580417037,-0.17638224363327026,0.0,0.0,-0.06864561685119318,-0.0065074341236086184,0.22694087028503418,0.21135322749614716,0.0,0.0,0.0,0.0
0.0545811653137207,0.08841396868228912,-1.2581403255462646,0.0,0.0,0.0021179437171667814,-0.17643781006336212,0.0,0.0,-0.069077048947786,-0.007633951264712136,0.22443746030330658,0.21392814815044403,0.0,0.0,0.0,0.0
0.058792829513549805,0.08841396868228912,-1.2581403255462646,0.0,0.0,0.0021179437171667814,-0.17643781006336212,0.0,0.0,-0.06955641794400028,-0.008329036309222817,0.29208067059516907,0.27371466159820557,0.0,0.0,0.0,0.0
0.06533598899841309,0.154453843832016,-2.7136213779449463,0.0,0.0,0.0022527575492858887,-0.17664670944213867,0.0,0.0,-0.06961633906852706,-0.008257130959790677,0.35171377658843994,0.3287662863731384,0.0,0.0,0.0,0.0
0.06897473335266113,0.154453843832016,-2.7136213779449463,0.0,0.0,0.0022527575492858887,-0.17664670944213867,0.0,0.0,-0.06961633906852706,-0.008257130959790677,0.35171377658843994,0.3287662863731384,0.0,0.0,0.0,0.0
0.0789794921875,0.1405162811279297,-4.291654109954834,0.0,0.0,0.0021627014502882957,-0.17698466777801514,0.0,0.0,-0.06961633906852706,-0.00625576540059613,0.41472795605659485,0.37405896186828613,0.0,0.0,0.0,0.0
0.0865178108215332,0.168820321559906,-5.536330699920654,0.0,0.0,0.0020837474148720503,-0.17712514102458954,0.0,0.0,-0.0676748946338593,-0.005884254428530077,0.39484384655952454,0.37177014350891113,0.0,0.0,0.0,0.0
